game_key,app_id,title,issue_type,issue_description,recommended_exclusion_flag
b29cd759bf7b,,BioShock,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
167ef6f6b881,,Half-Life,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
66c0b7fc07b9,,Half-Life 2,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
c195b77515fa,,Grand Theft Auto V Legacy,Missing reference price,Revenue scenario cannot be calculated,1
c195b77515fa,,Grand Theft Auto V Legacy,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
f698400b8814,,Portal 2,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
f698400b8814,,Portal 2,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
50bb6c32429f,,Quake,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
013cd2707e4b,,Grand Theft Auto: Vice City,Missing reference price,Revenue scenario cannot be calculated,1
013cd2707e4b,,Grand Theft Auto: Vice City,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
4a2be44aeabe,,Hades II,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
41f66249ffc7,,ELDEN RING,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
7f2f35dbcfbc,,BioShock Infinite,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
7f2f35dbcfbc,,BioShock Infinite,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
12b38fe2c8ca,,Sektori,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
12b38fe2c8ca,,Sektori,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
2cc718eb3b30,,Unreal Tournament 2004: Editor's Choice Edition,Missing reference price,Revenue scenario cannot be calculated,1
2cc718eb3b30,,Unreal Tournament 2004: Editor's Choice Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
4448a0478da5,,Company of Heroes - Legacy Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
73facf214d6a,,Grand Theft Auto III,Missing reference price,Revenue scenario cannot be calculated,1
73facf214d6a,,Grand Theft Auto III,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
