game_key,app_id,title,genre,genre_count_observed,genre_weight_observed,source_rank,attributed_revenue_base,inclusive_revenue_base,commercial_success_flag,source_url,observed_price_usd,owners_range_observed,score_percent_observed,owners_midpoint
b29cd759bf7b,,BioShock,Action,2,0.5,1,5239500,10479000,1,https://steamspy.com/genre/Action,4.99,"2,000,000 .. 5,000,000",0.96,3500000
167ef6f6b881,,Half-Life,Action,1,1,2,89910000,89910000,1,https://steamspy.com/genre/Action,9.99,"10,000,000 .. 20,000,000",0.96,15000000
66c0b7fc07b9,,Half-Life 2,Action,1,1,3,89910000,89910000,1,https://steamspy.com/genre/Action,9.99,"10,000,000 .. 20,000,000",0.96,15000000
c195b77515fa,,Grand Theft Auto V Legacy,Action,2,0.5,4,0,,,https://steamspy.com/genre/Action,,"50,000,000 .. 100,000,000",0.96,75000000
f698400b8814,,Portal 2,Action,2,0.5,5,29970,59940,0,https://steamspy.com/genre/Action,9.99,"0 .. 20,000",0.95,10000
50bb6c32429f,,Quake,Action,1,1,6,8991000,8991000,1,https://steamspy.com/genre/Action,9.99,"1,000,000 .. 2,000,000",0.94,1500000
013cd2707e4b,,Grand Theft Auto: Vice City,Action,1,1,7,0,,,https://steamspy.com/genre/Action,,"1,000,000 .. 2,000,000",0.94,1500000
4a2be44aeabe,,Hades II,Action,3,0.3333333333333333,8,20993000,62979000,1,https://steamspy.com/genre/Action,29.99,"2,000,000 .. 5,000,000",0.94,3500000
41f66249ffc7,,ELDEN RING,Action,2,0.5,9,629895000,1259790000,1,https://steamspy.com/genre/Action,59.99,"20,000,000 .. 50,000,000",0.94,35000000
7f2f35dbcfbc,,BioShock Infinite,Action,1,1,10,44940,44940,0,https://steamspy.com/genre/Action,7.49,"0 .. 20,000",0.94,10000
12b38fe2c8ca,,Sektori,Action,1,1,11,89940,89940,0,https://steamspy.com/genre/Action,14.99,"0 .. 20,000",0.93,10000
